----------------------------------------------------------------------------------------------------------------					
Filial: Minas Gerais					
----------------------------------------------------------------------------------------------------------------					
ID	Data	Produto	Quantidade	Valor_Unt	Valor Total
10012	05/01/2018	Guarda-roupa	5	2800	14000
10013	06/01/2018	Sofá	1	325	325
10014	07/01/2018	Mesa	4	892	3568
10015	08/01/2018	Cadeira	4	160	640
10016	09/01/2018	Estante	3	1478	4434
10017	10/01/2018	Guarda-roupa	4	2800	11200
10018	11/01/2018	Guarda-roupa	2	2800	5600
10019	12/01/2018	Cadeira	4	160	640
10020	03/02/2018	Guarda-roupa	4	2800	11200
10021	04/02/2018	Mesa	2	892	1784
10022	05/02/2018	Cadeira	1	160	160
10023	06/02/2018	Sofá	2	325	650
10024	07/02/2018	Estante	4	1478	5912
10025	08/02/2018	Mesa	2	892	1784
10026	09/02/2018	Sofá	2	325	650
10027	10/02/2018	Sofá	4	325	1300
10028	11/02/2018	Guarda-roupa	1	2800	2800
10029	05/03/2018	Mesa	3	892	2676
10030	06/03/2018	Mesa	2	892	1784
10031	07/03/2018	Cadeira	2	160	320
10032	08/03/2018	Sofá	3	325	975
10033	09/03/2018	Estante	1	1478	1478
10034	10/03/2018	Estante	5	1478	7390
10035	11/03/2018	Sofá	2	325	650
10036	12/03/2018	Mesa	4	892	3568
10037	13/03/2018	Sofá	2	325	650
10038	14/03/2018	Guarda-roupa	5	2800	14000
10039	15/03/2018	Mesa	5	892	4460
10040	16/03/2018	Mesa	4	892	3568
10041	01/04/2018	Guarda-roupa	3	2800	8400
10042	02/04/2018	Cadeira	5	160	800
10043	03/04/2018	Guarda-roupa	4	2800	11200
10044	04/04/2018	Sofá	4	325	1300
10045	05/04/2018	Estante	5	1478	7390
10046	06/04/2018	Sofá	4	325	1300
10047	07/04/2018	Cadeira	1	160	160
10048	08/04/2018	Guarda-roupa	3	2800	8400
10049	09/04/2018	Sofá	5	325	1625
10050	10/04/2018	Mesa	4	892	3568
10051	11/04/2018	Cadeira	1	160	160
----------------------------------------------------------------------------------------------------------------					
Filial: Rio de Janeiro					
----------------------------------------------------------------------------------------------------------------					
ID	Data	Produto	Quantidade	Valor_Unt	Valor Total
10052	06/01/2018	Mesa	2	892	1784
10053	07/01/2018	Estante	1	1478	1478
10054	08/01/2018	Estante	5	1478	7390
10055	09/01/2018	Estante	1	1478	1478
10056	10/01/2018	Estante	2	1478	2956
10057	11/01/2018	Cadeira	4	160	640
10058	12/01/2018	Guarda-roupa	4	2800	11200
10059	03/02/2018	Estante	1	1478	1478
10060	04/02/2018	Mesa	2	892	1784
10061	05/02/2018	Estante	3	1478	4434
10062	06/02/2018	Sofá	5	325	1625
