----------------------------------------------------------------------------------------------------------------					
Filial: Minas Gerais					
----------------------------------------------------------------------------------------------------------------					
ID	Data	Produto	Quantidade	Valor_Unt	Valor Total
10012	05/01/2018	Guarda-roupa	5	2800	14000
10013	06/01/2018	Sofá	1	325	325
10014	07/01/2018	Mesa	4	892	3568
10015	08/01/2018	Cadeira	4	160	640
10016	09/01/2018	Estante	3	1478	4434
10017	10/01/2018	Guarda-roupa	4	2800	11200
10018	11/01/2018	Guarda-roupa	2	2800	5600
10019	12/01/2018	Cadeira	4	160	640
----------------------------------------------------------------------------------------------------------------					
Filial: Rio de Janeiro					
----------------------------------------------------------------------------------------------------------------					
ID	Data	Produto	Quantidade	Valor_Unt	Valor Total
10052	06/01/2018	Mesa	2	892	1784
10053	07/01/2018	Estante	1	1478	1478
10054	08/01/2018	Estante	5	1478	7390
10055	09/01/2018	Estante	1	1478	1478
10056	10/01/2018	Estante	2	1478	2956
10057	11/01/2018	Cadeira	4	160	640
10058	12/01/2018	Guarda-roupa	4	2800	11200
----------------------------------------------------------------------------------------------------------------					
Filial: São Paulo					
----------------------------------------------------------------------------------------------------------------					
ID	Data	Produto	Quantidade	Valor_Unt	Valor Total
10089	06/01/2018	Sofá	5	325	1625
10090	07/01/2018	Cadeira	5	160	800
10091	08/01/2018	Guarda-roupa	1	2800	2800
10092	09/01/2018	Cadeira	2	160	320
10093	10/01/2018	Sofá	5	325	1625
10094	11/01/2018	Guarda-roupa	5	2800	14000
10095	12/01/2018	Estante	3	1478	4434
10096	13/01/2018	Sofá	4	325	1300
10097	14/01/2018	Sofá	2	325	650
10098	15/01/2018	Cadeira	2	160	320
10099	16/01/2018	Mesa	3	892	2676
10100	17/01/2018	Guarda-roupa	4	2800	11200
10101	18/01/2018	Estante	1	1478	1478
