Data Venda	Produto	Quantidade	Vlr Unitário
01/06/2017	Tijolo	269	R$ 113,64
01/06/2017	Fiação	71	R$ 120,95
01/06/2017	Tinta	137	R$ 228,42
31/05/2017	Telha	54	R$ 48,81
31/05/2017	Piso	156	R$ 138,32
31/05/2017	Tijolo	246	R$ 113,64
31/05/2017	Vergalhão	252	R$ 138,59
30/05/2017	Tijolo	255	R$ 113,64
30/05/2017	Rejunte	79	R$ 95,48
30/05/2017	Vergalhão	122	R$ 138,59
30/05/2017	Piso	79	R$ 138,32
30/05/2017	Vergalhão	135	R$ 138,59
30/05/2017	Tinta	162	R$ 228,42
29/05/2017	Rejunte	81	R$ 95,48
29/05/2017	Tinta	202	R$ 228,42
29/05/2017	Vergalhão	208	R$ 138,59
28/05/2017	Telha	233	R$ 48,81
28/05/2017	Cimento	56	R$ 273,37
28/05/2017	Vergalhão	205	R$ 138,59
27/05/2017	Piso	72	R$ 138,32
27/05/2017	Janela	104	R$ 54,75
27/05/2017	Telha	164	R$ 48,81
27/05/2017	Janela	109	R$ 54,75
27/05/2017	Telha	163	R$ 48,81
26/05/2017	Porta	118	R$ 122,29
26/05/2017	Fiação	63	R$ 120,95
25/05/2017	Fiação	244	R$ 120,95
25/05/2017	Fiação	161	R$ 120,95
25/05/2017	Tijolo	296	R$ 113,64
24/05/2017	Tinta	172	R$ 228,42
23/05/2017	Janela	270	R$ 54,75
22/05/2017	Fiação	260	R$ 120,95
22/05/2017	Piso	204	R$ 138,32
22/05/2017	Fiação	140	R$ 120,95
21/05/2017	Cimento	53	R$ 273,37
21/05/2017	Tinta	222	R$ 228,42
21/05/2017	Tinta	228	R$ 228,42
20/05/2017	Rejunte	183	R$ 95,48
20/05/2017	Tijolo	233	R$ 113,64
20/05/2017	Cimento	269	R$ 273,37
20/05/2017	Piso	169	R$ 138,32
20/05/2017	Telha	162	R$ 48,81
19/05/2017	Fiação	117	R$ 120,95
18/05/2017	Janela	75	R$ 54,75
18/05/2017	Cimento	266	R$ 273,37
18/05/2017	Fiação	275	R$ 120,95
17/05/2017	Janela	58	R$ 54,75
17/05/2017	Janela	282	R$ 54,75
17/05/2017	Fiação	119	R$ 120,95
17/05/2017	Rejunte	162	R$ 95,48
17/05/2017	Tijolo	274	R$ 113,64
17/05/2017	Telha	245	R$ 48,81
16/05/2017	Porta	123	R$ 122,29
16/05/2017	Rejunte	260	R$ 95,48
16/05/2017	Vergalhão	180	R$ 138,59
16/05/2017	Tijolo	258	R$ 113,64
16/05/2017	Cimento	274	R$ 273,37
16/05/2017	Tijolo	148	R$ 113,64
15/05/2017	Tijolo	133	R$ 113,64
15/05/2017	Porta	159	R$ 122,29
15/05/2017	Piso	85	R$ 138,32
15/05/2017	Fiação	83	R$ 120,95
15/05/2017	Tinta	258	R$ 228,42
14/05/2017	Telha	128	R$ 48,81
14/05/2017	Vergalhão	223	R$ 138,59
14/05/2017	Porta	239	R$ 122,29
13/05/2017	Janela	294	R$ 54,75
13/05/2017	Porta	95	R$ 122,29
13/05/2017	Porta	169	R$ 122,29
13/05/2017	Telha	271	R$ 48,81
12/05/2017	Vergalhão	68	R$ 138,59
12/05/2017	Fiação	144	R$ 120,95
12/05/2017	Fiação	291	R$ 120,95
11/05/2017	Tinta	266	R$ 228,42
10/05/2017	Janela	186	R$ 54,75
10/05/2017	Tinta	250	R$ 228,42
10/05/2017	Fiação	88	R$ 120,95
10/05/2017	Janela	139	R$ 54,75
09/05/2017	Vergalhão	85	R$ 138,59
08/05/2017	Piso	274	R$ 138,32
08/05/2017	Piso	120	R$ 138,32
08/05/2017	Tinta	255	R$ 228,42
07/05/2017	Tinta	121	R$ 228,42
06/05/2017	Piso	223	R$ 138,32
06/05/2017	Fiação	234	R$ 120,95
05/05/2017	Rejunte	72	R$ 95,48
05/05/2017	Rejunte	272	R$ 95,48
05/05/2017	Vergalhão	187	R$ 138,59
04/05/2017	Cimento	283	R$ 273,37
04/05/2017	Rejunte	178	R$ 95,48
03/05/2017	Cimento	125	R$ 273,37
03/05/2017	Vergalhão	297	R$ 138,59
03/05/2017	Tijolo	141	R$ 113,64
03/05/2017	Tinta	102	R$ 228,42
03/05/2017	Cimento	84	R$ 273,37
02/05/2017	Porta	261	R$ 122,29
01/05/2017	Janela	190	R$ 54,75
01/05/2017	Piso	144	R$ 138,32
30/04/2017	Fiação	203	R$ 120,95
30/04/2017	Cimento	188	R$ 273,37
30/04/2017	Cimento	161	R$ 273,37
29/04/2017	Vergalhão	223	R$ 138,59
29/04/2017	Porta	285	R$ 122,29
29/04/2017	Piso	168	R$ 138,32
29/04/2017	Tijolo	156	R$ 113,64
29/04/2017	Telha	90	R$ 48,81
29/04/2017	Rejunte	247	R$ 95,48
29/04/2017	Cimento	273	R$ 273,37
28/04/2017	Tinta	243	R$ 228,42
28/04/2017	Porta	217	R$ 122,29
27/04/2017	Rejunte	251	R$ 95,48
27/04/2017	Rejunte	247	R$ 95,48
27/04/2017	Fiação	142	R$ 120,95
27/04/2017	Vergalhão	256	R$ 138,59
25/04/2017	Porta	223	R$ 122,29
25/04/2017	Tinta	156	R$ 228,42
24/04/2017	Janela	257	R$ 54,75
24/04/2017	Tinta	85	R$ 228,42
24/04/2017	Janela	238	R$ 54,75
24/04/2017	Rejunte	284	R$ 95,48
23/04/2017	Cimento	227	R$ 273,37
23/04/2017	Janela	227	R$ 54,75
22/04/2017	Tinta	54	R$ 228,42
22/04/2017	Rejunte	223	R$ 95,48
22/04/2017	Tijolo	126	R$ 113,64
22/04/2017	Tinta	251	R$ 228,42
21/04/2017	Telha	291	R$ 48,81
20/04/2017	Fiação	163	R$ 120,95
19/04/2017	Tijolo	163	R$ 113,64
19/04/2017	Cimento	160	R$ 273,37
19/04/2017	Cimento	294	R$ 273,37
19/04/2017	Tinta	133	R$ 228,42
18/04/2017	Rejunte	244	R$ 95,48
17/04/2017	Tinta	173	R$ 228,42
17/04/2017	Janela	155	R$ 54,75
17/04/2017	Rejunte	186	R$ 95,48
17/04/2017	Tijolo	74	R$ 113,64
16/04/2017	Fiação	91	R$ 120,95
16/04/2017	Telha	86	R$ 48,81
16/04/2017	Rejunte	258	R$ 95,48
15/04/2017	Vergalhão	189	R$ 138,59
14/04/2017	Fiação	55	R$ 120,95
14/04/2017	Rejunte	257	R$ 95,48
14/04/2017	Cimento	192	R$ 273,37
14/04/2017	Janela	151	R$ 54,75
13/04/2017	Telha	66	R$ 48,81
12/04/2017	Telha	239	R$ 48,81
12/04/2017	Piso	148	R$ 138,32
11/04/2017	Janela	289	R$ 54,75
11/04/2017	Tijolo	168	R$ 113,64
11/04/2017	Vergalhão	216	R$ 138,59
11/04/2017	Telha	93	R$ 48,81
11/04/2017	Janela	183	R$ 54,75
10/04/2017	Tinta	276	R$ 228,42
10/04/2017	Fiação	117	R$ 120,95
09/04/2017	Fiação	260	R$ 120,95
09/04/2017	Cimento	147	R$ 273,37
08/04/2017	Rejunte	192	R$ 95,48
08/04/2017	Tijolo	92	R$ 113,64
08/04/2017	Cimento	174	R$ 273,37
07/04/2017	Janela	251	R$ 54,75
07/04/2017	Fiação	250	R$ 120,95
07/04/2017	Rejunte	119	R$ 95,48
07/04/2017	Tijolo	88	R$ 113,64
07/04/2017	Janela	102	R$ 54,75
06/04/2017	Janela	196	R$ 54,75
06/04/2017	Rejunte	253	R$ 95,48
06/04/2017	Vergalhão	73	R$ 138,59
06/04/2017	Telha	204	R$ 48,81
05/04/2017	Porta	75	R$ 122,29
05/04/2017	Vergalhão	173	R$ 138,59
05/04/2017	Vergalhão	286	R$ 138,59
05/04/2017	Janela	59	R$ 54,75
05/04/2017	Janela	129	R$ 54,75
03/04/2017	Janela	133	R$ 54,75
03/04/2017	Cimento	290	R$ 273,37
03/04/2017	Cimento	58	R$ 273,37
03/04/2017	Tijolo	234	R$ 113,64
03/04/2017	Janela	68	R$ 54,75
02/04/2017	Tijolo	153	R$ 113,64
01/04/2017	Telha	63	R$ 48,81
01/04/2017	Rejunte	82	R$ 95,48
31/03/2017	Tinta	81	R$ 228,42
31/03/2017	Cimento	132	R$ 273,37
30/03/2017	Fiação	224	R$ 120,95
30/03/2017	Piso	223	R$ 138,32
30/03/2017	Tinta	64	R$ 228,42
29/03/2017	Tinta	203	R$ 228,42
28/03/2017	Janela	177	R$ 54,75
28/03/2017	Cimento	178	R$ 273,37
28/03/2017	Cimento	95	R$ 273,37
28/03/2017	Piso	153	R$ 138,32
27/03/2017	Cimento	99	R$ 273,37
27/03/2017	Porta	136	R$ 122,29
27/03/2017	Janela	253	R$ 54,75
27/03/2017	Vergalhão	198	R$ 138,59
27/03/2017	Telha	213	R$ 48,81
27/03/2017	Piso	58	R$ 138,32
27/03/2017	Telha	141	R$ 48,81
27/03/2017	Vergalhão	224	R$ 138,59
26/03/2017	Piso	102	R$ 138,32
26/03/2017	Piso	80	R$ 138,32
26/03/2017	Rejunte	60	R$ 95,48
25/03/2017	Vergalhão	247	R$ 138,59
25/03/2017	Piso	218	R$ 138,32
25/03/2017	Telha	57	R$ 48,81
25/03/2017	Telha	268	R$ 48,81
24/03/2017	Cimento	94	R$ 273,37
24/03/2017	Porta	196	R$ 122,29
23/03/2017	Fiação	222	R$ 120,95
23/03/2017	Tijolo	270	R$ 113,64
23/03/2017	Rejunte	138	R$ 95,48
23/03/2017	Tijolo	167	R$ 113,64
22/03/2017	Porta	140	R$ 122,29
21/03/2017	Tijolo	107	R$ 113,64
21/03/2017	Porta	257	R$ 122,29
21/03/2017	Janela	54	R$ 54,75
21/03/2017	Tinta	161	R$ 228,42
20/03/2017	Piso	90	R$ 138,32
20/03/2017	Porta	92	R$ 122,29
20/03/2017	Fiação	177	R$ 120,95
20/03/2017	Vergalhão	218	R$ 138,59
20/03/2017	Tijolo	225	R$ 113,64
20/03/2017	Cimento	74	R$ 273,37
19/03/2017	Janela	101	R$ 54,75
19/03/2017	Telha	244	R$ 48,81
19/03/2017	Janela	169	R$ 54,75
18/03/2017	Tinta	138	R$ 228,42
16/03/2017	Piso	223	R$ 138,32
16/03/2017	Cimento	293	R$ 273,37
15/03/2017	Piso	296	R$ 138,32
14/03/2017	Rejunte	203	R$ 95,48
14/03/2017	Fiação	239	R$ 120,95
14/03/2017	Fiação	190	R$ 120,95
14/03/2017	Tinta	107	R$ 228,42
14/03/2017	Piso	232	R$ 138,32
13/03/2017	Porta	149	R$ 122,29
13/03/2017	Janela	232	R$ 54,75
12/03/2017	Janela	94	R$ 54,75
12/03/2017	Janela	86	R$ 54,75
11/03/2017	Janela	290	R$ 54,75
